Postcode,Total Installations,Total SGU Rated Output In kW
3438,135,453.039
3440,118,346.366
3441,56,193.846
3442,543,2056.977
3444,710,2500.669
3446,100,295.894
3447,64,199.353
3448,124,392.942
3450,775,2021.910
3451,496,1373.269
3453,221,746.332
3458,185,586.289
3460,220,660.362
3461,433,1224.919
3462,154,391.570
3463,349,1043.105
3464,111,332.840
3465,881,2995.190
3467,122,414.146
3468,33,86.060
3469,23,65.930
3472,202,559.230
3475,35,100.745
3477,88,284.068
3478,237,967.197
3480,110,466.555
3482,11,27.240
3483,67,274.765
3485,26,100.355
3487,11,30.170
3488,9,31.390
3489,4,15.655
3490,99,408.955
3491,8,23.500
3494,27,109.877
3496,374,1553.144
3498,291,1260.018
3500,1428,6438.311
3501,179,777.338
3502,29,212.470
3505,366,1777.785
3506,1,2.000
3507,17,66.940
3509,25,96.410
3512,44,167.170
3515,138,602.340
3516,76,227.361
3517,172,459.724
3518,154,479.887
3520,16,38.560
3521,68,236.372
3522,47,166.552
3523,465,1430.075
3525,157,609.518
3527,70,251.250
3529,6,28.020
3530,7,13.695
3531,13,36.050
3533,78,277.205
3537,103,368.175
3540,45,152.340
3542,7,26.330
3544,25,122.960
3546,48,197.805
3549,135,787.615
3550,2296,7471.782
3551,2445,8516.953
3552,20,66.185
3554,2,6.390
3555,1214,3793.773
3556,872,2564.264
3557,73,306.304
3558,118,436.330
3559,36,127.230
3561,492,1757.791
3562,29,111.770
3563,75,262.290
3564,1359,5551.876
3565,9,80.440
3566,49,183.225
3567,56,213.970
3568,258,1104.040
3570,91,279.130
3571,33,120.197
3572,5,26.400
3573,27,156.180
3575,69,259.870
3576,4,19.740
3579,540,2026.208
3580,98,305.995
3581,22,73.110
3583,12,47.145
3584,71,284.460
3585,760,3506.672
3586,70,353.753
3588,35,133.715
3589,26,133.858
3590,31,141.130
3591,9,35.170
3594,62,201.530
3595,80,268.935
3596,6,125.250
3597,26,170.902
3599,18,72.640
3607,11,39.295
3608,271,857.110
3610,178,515.364
3612,215,607.495
3614,105,387.510
3616,461,1413.640
3617,15,54.810
3618,70,227.700
3619,57,190.755
3620,761,2642.892
3621,236,865.710
3622,44,202.770
3623,95,312.260
3624,55,189.475
3629,693,2157.824
3630,1863,6468.162
3631,959,3193.648
3632,34,349.085
3633,84,315.000
3634,184,718.967
3635,65,193.675
3636,578,2000.350
3637,64,251.572
3638,218,942.565
3639,58,171.803
3640,127,837.305
3641,149,629.385
3643,29,81.350
3644,932,3919.072
3646,72,241.905
3647,2,34.950
3649,45,153.575
3658,561,1823.887
3659,87,308.745
3660,624,2053.261
3661,24,70.244
3662,3,17.220
3663,24,88.972
3664,101,354.347
3665,47,122.435
3666,554,1678.622
3669,149,467.310
3670,79,274.370
3671,46,240.740
3672,704,2266.327
3673,204,686.803
3675,243,852.740
3676,107,329.740
3677,1315,4511.910
3678,806,3143.478
3682,86,288.010
3683,217,677.465
3685,371,1356.386
3687,126,366.706
3688,176,579.548
3689,73,190.966
3690,2035,6978.654
3691,860,3168.072
3694,15,97.894
3695,60,224.723
3697,78,288.169
3698,126,336.351
3699,77,256.445
3700,152,512.248
3701,144,550.255
3704,5,13.055
3705,44,188.460
3707,265,976.575
3708,9,27.160
3709,66,285.678
3711,67,242.910
3712,36,170.870
3713,133,350.045
3714,377,1274.793
3715,30,74.978
3717,308,1131.276
3718,9,55.920
3719,60,185.885
3720,82,286.037
3722,426,1743.991
3723,308,1069.782
3724,11,48.255
3725,67,221.670
3726,56,185.935
3727,41,121.655
3728,81,262.730
3730,982,3589.986
3732,81,269.962
3733,16,45.665
3735,58,234.525
3736,26,86.030
3737,376,1524.068
3738,22,81.310
3739,26,148.710
3740,115,418.699
3741,319,1097.132
3744,52,147.238
3746,71,221.074
3747,575,1910.960
3749,244,769.440
3750,317,1074.740
3751,6,28.535
3752,1058,3176.486
3753,103,364.507
3754,1614,4950.451
3755,18,49.430
3756,782,2454.801
3757,573,1841.954
3758,179,588.884
3759,87,338.786
3760,43,149.611
3761,105,347.038
3762,12,50.470
3763,157,447.507
3764,567,1842.418
3765,310,1028.864
3766,35,97.805
3767,26,68.745
3770,213,806.180
3775,280,960.407
3777,708,2007.025
3778,19,64.360
3779,49,212.175
3781,194,538.822
3782,394,1132.098
3783,159,491.861
3786,51,141.340
3787,21,60.260
3788,52,176.041
3789,7,17.080
3791,39,139.261
3792,49,123.479
3793,191,620.186
3795,104,430.171
3796,430,1185.463
3797,243,774.590
3799,345,977.650
3802,1295,3613.057
3803,612,2376.896
3804,504,2037.174
3805,3338,9674.838
3806,2563,7485.240
3807,405,1332.678
3808,196,722.368
3809,225,789.699
3810,2470,7787.168
3812,167,646.112
3813,55,161.456
3814,147,518.204
3815,214,751.500
3816,205,655.486
3818,1099,3133.908
3820,1002,3148.271
3821,267,925.298
3822,91,332.473
3823,197,661.962
3824,349,1215.521
3825,1540,4946.528
3831,182,583.345
3832,24,75.920
3833,37,101.661
3835,35,159.860
3840,994,3419.667
3842,304,958.947
3844,1654,5716.808
3847,175,538.065
3850,870,3356.528
3851,743,2202.972
3852,1,4.500
3853,8,31.690
3854,105,368.730
3856,108,367.345
3857,48,139.085
3858,293,834.064
3859,82,476.007
3860,609,1882.745
3862,316,1157.251
3864,27,115.020
3865,54,199.951
3869,157,523.325
3870,179,464.193
3871,287,970.736
3873,40,179.335
3874,86,288.440
3875,1456,5117.345
3878,128,427.904
3880,397,1180.743
3882,117,394.222
3885,216,702.730
3886,32,113.050
3887,34,171.514
3888,315,1025.561
3889,12,29.150
3890,27,88.852
3891,29,76.505
3892,185,399.962
3893,2,16.320
3895,15,52.890
3896,26,121.610
3898,56,185.429
3900,15,44.940
3902,32,113.492
3903,85,342.825
3904,175,566.745
3909,829,2770.640
3910,1281,3777.019
3911,201,886.474
3912,1001,3081.600
3913,235,739.306
